
> customer-portal@0.1.0 dev
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3002
- Network:       http://192.168.88.7:3002
✓ Ready in 504ms

 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 21ms (next.js: 647µs, application-code: 20ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 19ms (next.js: 649µs, application-code: 19ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 21ms (next.js: 692µs, application-code: 20ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 20ms (next.js: 760µs, application-code: 19ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 20ms (next.js: 672µs, application-code: 19ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 23ms (next.js: 833µs, application-code: 22ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 22ms (next.js: 771µs, application-code: 21ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 22ms (next.js: 749µs, application-code: 21ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 23ms (next.js: 723µs, application-code: 22ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 21ms (next.js: 670µs, application-code: 20ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 29ms (next.js: 687µs, application-code: 28ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 28ms (next.js: 1255µs, application-code: 27ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 19ms (next.js: 730µs, application-code: 18ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 18ms (next.js: 699µs, application-code: 18ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 19ms (next.js: 626µs, application-code: 18ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 19ms (next.js: 655µs, application-code: 19ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 21ms (next.js: 627µs, application-code: 21ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 20ms (next.js: 753µs, application-code: 20ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 19ms (next.js: 686µs, application-code: 19ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 20ms (next.js: 1636µs, application-code: 19ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 20ms (next.js: 721µs, application-code: 20ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 22ms (next.js: 829µs, application-code: 21ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 21ms (next.js: 691µs, application-code: 21ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 19ms (next.js: 731µs, application-code: 18ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 18ms (next.js: 663µs, application-code: 18ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 20ms (next.js: 683µs, application-code: 19ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 22ms (next.js: 766µs, application-code: 22ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 21ms (next.js: 738µs, application-code: 21ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 22ms (next.js: 800µs, application-code: 21ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 22ms (next.js: 723µs, application-code: 21ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 21ms (next.js: 707µs, application-code: 20ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 19ms (next.js: 766µs, application-code: 18ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 22ms (next.js: 645µs, application-code: 22ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 22ms (next.js: 832µs, application-code: 21ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 19ms (next.js: 783µs, application-code: 18ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 20ms (next.js: 656µs, application-code: 19ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 19ms (next.js: 1647µs, application-code: 18ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 20ms (next.js: 666µs, application-code: 20ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 20ms (next.js: 680µs, application-code: 19ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 19ms (next.js: 684µs, application-code: 18ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 18ms (next.js: 699µs, application-code: 18ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 10ms (next.js: 653µs, application-code: 9ms)
 GET /book/7ad1e0d2-5ee7-4920-9b0b-86ca49a0b9eb 200 in 980ms (next.js: 902ms, application-code: 78ms)
 GET /book/7ad1e0d2-5ee7-4920-9b0b-86ca49a0b9eb 200 in 39ms (next.js: 3ms, application-code: 36ms)
✓ Compiled in 99ms
✓ Compiled in 125ms
 GET /book/7ad1e0d2-5ee7-4920-9b0b-86ca49a0b9eb 200 in 173ms (next.js: 85ms, application-code: 89ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 91ms (next.js: 14ms, application-code: 77ms)
 GET /book/7ad1e0d2-5ee7-4920-9b0b-86ca49a0b9eb 200 in 56ms (next.js: 4ms, application-code: 52ms)
 GET /menu/36e8bc27-f972-4859-9f99-459ecece81fc 200 in 25ms (next.js: 4ms, application-code: 22ms)
✓ Compiled in 30ms
 GET /book/7ad1e0d2-5ee7-4920-9b0b-86ca49a0b9eb 200 in 130ms (next.js: 21ms, application-code: 109ms)
 GET /book/7ad1e0d2-5ee7-4920-9b0b-86ca49a0b9eb 200 in 100ms (next.js: 14ms, application-code: 86ms)
